Country,Year,Internet Users,Population,Internet Users per 100
Dominican Republic,2015,5641602,10847904,52.02
Ecuador,2015,7926346,17643060,44.92
Egypt,2015,36958534,102334403,36.12
El Salvador,2015,1670090,6486201,25.74
Equatorial Guinea,2015,287175,1402985,20.46
Eritrea,2015,36197,3546427,1.02
Estonia,2015,1162285,1326539,87.61
Eswatini,2015,290777,1160164,25.07
Ethiopia,2015,14197662,114963583,12.35
Fiji,2015,389814,896444,43.48
Finland,2015,4735464,5540718,85.47
France,2015,49775470,65273512,76.27
Gabon,2015,928750,2225728,41.72
Gambia,2015,410071,2416664,16.97
Georgia,2015,1793920,3989175,44.96
Germany,2015,71887778,83783945,85.8
Ghana,2015,6640318,31072945,21.38
Greece,2015,7222616,10423056,69.28
Grenada,2015,62472,112519,55.52
Guatemala,2015,4609269,17915567,25.73
Guinea,2015,1069592,13132792,8.14
Guinea-Bissau,2015,109125,1874000,5.82
Guyana,2015,256715,786559,32.63
Haiti,2015,1500054,11402533,13.16
Honduras,2015,2518812,9904608,25.42
Hungary,2015,7170034,9660350,74.21
Iceland,2015,325109,341250,95.27
India,2015,197107112,1380004385,14.29
Indonesia,2015,57162793,273523621,20.9
Iran,2015,37079861,83992953,44.14
Iraq,2015,6343312,40222503,15.77
Ireland,2015,3895670,4937796,78.89
Israel,2015,6194183,8655541,71.54
Italy,2015,35020458,60461828,57.89
Jamaica,2015,1179853,2961161,39.85
Japan,2015,115872194,126476458,91.64
Jordan,2015,5147782,10203140,50.46
Kazakhstan,2015,12633162,18776707,67.28
Kenya,2015,7771658,53771300,14.45
Kuwait,2015,3205171,4270563,75.05
Kyrgyzstan,2015,1789108,6524191,27.42
Laos,2015,1235310,7275556,16.97
Latvia,2015,1577637,1886202,83.67
Lebanon,2015,4735216,6825442,69.38
Lesotho,2015,529633,2142252,24.74
Liberia,2015,461233,5057677,9.12
Libya,2015,0,6871287,0
Liechtenstein,2015,36123,38137,94.73
Lithuania,2015,2115477,2722291,77.71
Luxembourg,2015,548783,625976,87.65
Madagascar,2015,1037270,27691019,3.74
Malawi,2015,1016337,19129955,5.31
Malaysia,2015,22078776,32365998,68.23
Maldives,2015,237231,540542,43.88
Mali,2015,1871064,20250834,9.24
Malta,2015,346822,441539,78.54
Mauritania,2015,694536,4649660,14.93
Mauritius,2015,648381,1271767,50.99
Mexico,2015,69003337,128932753,53.54
Moldova,2015,2261399,4033963,56.07
Monaco,2015,34340,39244,87.5
Mongolia,2015,667070,3278292,20.34
Montenegro,2015,431858,628062,68.76
Morocco,2015,19795604,36910558,53.64
Mozambique,2015,1744811,31255435,5.58
Myanmar,2015,5611751,54409800,10.32
Namibia,2015,586379,2540916,23.08
Nepal,2015,4854342,29136808,16.67
Netherlands,2015,15630811,17134873,91.21
New Zealand,2015,3911183,4822233,81.1
Nicaragua,2015,1241097,6624554,18.73
Niger,2015,498417,24206636,2.06
Nigeria,2015,45078965,206139587,21.87
North Macedonia,2015,1483590,2083380,71.23
Norway,2015,5024802,5421242,92.71
Oman,2015,3082219,5106622,60.37
Pakistan,2015,23206623,220892331,10.51
Panama,2015,2026251,4314768,46.95
Papua New Guinea,2015,685892,8947027,7.67
Paraguay,2015,3071450,7132530,43.05
Peru,2015,12546595,32971846,38.05
Philippines,2015,38018573,109581085,34.69
Poland,2015,26214979,37846605,69.27
Portugal,2015,7114095,10196707,69.73
Qatar,2015,2242778,2881060,77.85
Romania,2015,11100258,19237682,57.68
Russia,2015,101411442,145934460,69.46
Rwanda,2015,2095733,12952209,16.18
Saint Kitts and Nevis,2015,36195,53192,68.06
Saint Lucia,2015,73241,183629,39.89
Saint Vincent and the Grenadines,2015,52608,110947,47.42
Samoa,2015,51725,197000,26.26
Sao Tome and Principe,2015,51935,219161,23.69
Saudi Arabia,2015,22799204,34813867,65.48
Senegal,2015,3115294,16743930,18.61
Serbia,2015,4911514,6804596,72.17
Seychelles,2015,53858,98340,54.75
Sierra Leone,2015,464080,7976985,5.82
Singapore,2015,4700816,5850343,80.36
Slovakia,2015,4211254,5459643,77.13
Slovenia,2015,1521085,2078932,73.16
Somalia,2015,242245,15893219,1.52
South Africa,2015,29010587,59308690,48.91
South Korea,2015,45842053,51640000,88.79
South Sudan,2015,335829,11193729,3
Spain,2015,36536652,46754783,78.13
Sri Lanka,2015,2581740,21413250,12.06
Sudan,2015,0,43849269,0
Suriname,2015,246096,586634,41.94
Sweden,2015,8924510,10099270,88.36
Switzerland,2015,7244784,8654618,83.71
Syria,2015,5757673,17500657,32.9
Taiwan,2015,11727649,23816775,49.26
Tajikistan,2015,1617868,9537642,16.96
Tanzania,2015,5254282,56320000,9.33
Thailand,2015,27637039,69799978,39.59
Timor-Leste,2015,224283,1268000,17.69
Togo,2015,532094,8278737,6.43
Trinidad and Tobago,2015,950577,1399491,68
Tunisia,2015,5374367,11818618,45.46
